"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"178","ADRIAMYCIN",NA,"P53-MUTATED BREAST CANCER","p53, miR-30c,
FANCF, REV1","mutation, gene expression,
protein expression, protein expression","positive, positive, positive, positive","AND,AND,AND","cell line","31511498","Intrinsic adriamycin resistance in p53-mutated breast cancer is related to the miR-30c/FANCF/REV1-mediated DNA damage response.","The novel miRNA-mediated pathway that regulates chemoresistance in breast cancer will facilitate the development of novel therapeutic strategies.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31511498",NA,"NA","443939","ENSG00000141510, NA, ENSG00000183161, ENSG00000135945","MONDO_0007254","P53 MUTATION POSITIVE AND MIR-30C GENE EXPRESSION POSITIVE AND FANCF PROTEIN EXPRESSION POSITIVE AND REV1 PROTEIN EXPRESSION POSITIVE","pass"
"179","TAMOXIFEN",NA,"BREAST CANCER","ESR1, PGR","protein expression, protein expression","positive,positive","AND/OR,",NA,"31504126","Breast Cancer Index and prediction of benefit from extended endocrine therapy in breast cancer patients treated in the Adjuvant Tamoxifen-To Offer More? (aTTom) trial.","Continuous BCI (H/I) levels predicted the magnitude of benefit from extended tamoxifen, whereas centralized ER and PR did not.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31504126",NA,"DB00675","2733526","ENSG00000091831, ENSG00000082175","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND/OR PGR PROTEIN EXPRESSION POSITIVE","pass"
"180","TRASTUZUMAB",NA,"HER-2+ ADVANCED BREAST CANCER","ERBB2","protein expression","positive",NA,"patients","31500588","Long-term responders to trastuzumab monotherapy in first-line HER-2+ advanced breast cancer: characteristics and survival data.","Durable clinical benefit can be achieved with trastuzumab monotherapy in a subgroup of HER2-positive patients with advanced disease and it is predictive for longer OS.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31500588",NA,"DB00072","3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"181","NA",NA,"BREAST CANCER","pZIP 7","protein expression","positive",NA,"cell line","31483418","Activated zinc transporter ZIP7 as an indicator of anti-hormone resistance in breast cancer.","This evidence suggests that pZIP7 might have potential as a biomarker of acquired resistance to such anti-hormones in breast cancer","https://www.ncbi.nlm.nih.gov/pubmed/?term=31483418",NA,"NA","56956252","NA","MONDO_0007254","PZIP 7 PROTEIN EXPRESSION POSITIVE","failed biomarker"
"182","NA",NA,"ER+ BREAST CANCER","CDC20mRNA","gene expression","positive",NA,"patients","31471836","CDC20 expression in oestrogen receptor positive breast cancer predicts poor prognosis and lack of response to endocrine therapy.","This study shows that the CDC20 could act as potential predictive biomarker of poor response to endocrine therapy in ER+ breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31471836",NA,"NA","56956252","NA","EFO_1000650","CDC20MRNA GENE EXPRESSION POSITIVE","failed biomarker"
"183","NA",NA,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2
","protein expression, protein expression, protein expression,","negative,negative,negative",NA,"patients","31467642","Incorporating biomarkers to improve statistical power of immunotherapeutic neoadjuvant clinical trials in patients with triple-negative breast cancer.","In this article, a stepwise hypothesis testing procedure is proposed to combine a continuous tumor biomarker with the conventional binary endpoint in a two-arm randomized phase II superiority trial to improve statistical power.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31467642",NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","failed","failed term"
"184","NA",NA,"TRIPLE NEGATIVE BREAST CANCER.","ESR1, PGR, ERBB2
","protein expression, protein expression, protein expression,","negative,negative,negative","AND,AND","patients","31443516","Mechanisms of Chemotherapy Resistance in Triple-Negative Breast Cancer-How We Can Rise to the Challenge.","The evidence presented in this review outlines the role of crucial pathways in TNBC survival following chemotherapy treatment and highlights the importance of using combinatorial drug strategies and incorporating biomarkers in clinical studies.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31443516",NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE AND PGR PROTEIN EXPRESSION NEGATIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"185","NA",NA,"BREAST CANCER","SLCO1B3","mutation",NA,NA,"patients","31434449","Association study of genetic variations in SLCO1B3 gene with prognosis in breast cancer patients treated with neoadjuvant chemotherapy of TA regimen.","The variations of rs11045689 and rs73241801 in SLCO1B3 gene were significantly associated with prognosis of BC patients treated with neoadjuvant chemotherapy of TA regimen, which might serve as biomarkers for predicting prognosis of BC patients treated with neoadjuvant chemotherapy.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31434449",NA,"NA","56956252","ENSG00000111700","MONDO_0007254","SLCO1B3 MUTATION NA","pass"
"186","AROMATASE INHIBITORS, TAMOXIFEN",NA,"ER-POSITIVE BREAST CANCER","ESR1, ERBB2","protein expression, protein expression","positive, negative","AND","patients","31423426","Neoadjuvant endocrine therapy: A potential strategy for ER-positive breast cancer.","In this review, we discuss the most relevant evidence on the potential of NAE for ER+ breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31423426",NA,"NA,DB00675","NA, 2733526","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION NEGATIVE","failed drug"
"187","BAZEDOXIFENE, ESTROGEN",NA,"BREAST CANCER","Volpara,
Ki-67,
IGF-1,
IGFBP3","others,
protein expression,protein expression,protein expression
","positive, positive, negative, negative","OR,AND,AND","patients","31420361","Effect of Bazedoxifene and Conjugated Estrogen (Duavee) on Breast Cancer Risk Biomarkers in High-Risk Women: A Pilot Study.","Risk biomarkers included fully automated mammographic volumetric density (Volpara), benign breast tissue Ki-67 (MIB-1 immunochemistry), and serum levels of progesterone, IGF-1, and IGFBP3, bioavailable estradiol and testosterone.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31420361",NA,"DB06401,NA","154256, 448537","NA, ENSG00000148773, ENSG00000259384, ENSG00000146674","MONDO_0007254","VOLPARA OTHERS POSITIVE OR KI-67 PROTEIN EXPRESSION POSITIVE AND IGF-1 PROTEIN EXPRESSION NEGATIVE AND IGFBP3 PROTEIN EXPRESSION NEGATIVE","failed biomarker"
"188","NERATINIB",NA,"HER2-POSITIVE BREAST CANCER","TBCP-1,
HER 2","protein expression,
gene expression","positive, positive","AND","mouse","31409375","Neoadjuvant neratinib promotes ferroptosis and inhibits brain metastasis in a novel syngeneic model of spontaneous HER2","The TBCP-1 model recapitulates the spontaneous spread of HER2-positive breast cancer to the brain seen in patients and provides a unique tool to identify novel therapeutics and biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31409375",NA,"DB11828","9915743","NA, ENSG00000141736","EFO_1000294","TBCP-1 PROTEIN EXPRESSION POSITIVE AND HER 2 GENE EXPRESSION POSITIVE","failed biomarker"
"189","BEVACIZUMAB, DOCETAXEL, CYCLOPHOSPHAMIDE",NA,"HER-2 NEGATIVE BREAST CANCER","VEGF,
cTnI,
MPO,
PlGF
","protein expression, protein expression, protein expression,
protein expression","negative, negative, negative, negative","OR/AND/OR","patients","31384312","Pilot study of bevacizumab in combination with docetaxel and cyclophosphamide as adjuvant treatment for patients with early stage HER-2 negative breast cancer, including analysis of candidate circulating markers of cardiac toxicity: ICORG 08-10 trial.","We observed a low relapse rate in node-positive, HR+ patients; however, results in TN breast cancer were less encouraging.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31384312",NA,"DB00112,DB01248,DB00531","NA, 148124, 2907","ENSG00000112715, NA, ENSG00000005381, ENSG00000119630","MONDO_0007254","failed","failed term"
"190","NA",NA,"BREAST CANCER","PD-1","protein expression",NA,NA,"patients","31357142","Targeting PD-1 in cancer: Biological insights with a focus on breast cancer.","This review aims to shed light on the main principles of targeting PD-1 in breast cancer, from biology through its functional and clinical implications.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31357142",NA,"NA","56956252","ENSG00000265681","MONDO_0007254","PD-1 PROTEIN EXPRESSION NA","pass"
"191","NA",NA,"MBC","TK 1
CDK 4/6/9 mRNA","protein expression
gene expression","positive, positive, positive, positive","AND/ADN/AND","patients","31346846","Overexpression of TK1 and CDK9 in plasma-derived exosomes is associated with clinical resistance to CDK4/6 inhibitors in metastatic breast cancer patients.","Therefore, the present article addresses the role of the mRNA expression of thymidine kinase 1 (TK1), CDK4, 6 and 9 in plasma-derived exosomes and their relevance in the pharmacologic activity of CDK4/6i.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31346846",NA,"NA","56956252","NA","NA","failed","failed biomarker,failed disease,failed term"
"192","NA",NA,"BREAST CANCER","PD-1, PD-L1","others","positive, positive","AND","cells
patients","31336685","PD-1/PD-L1 Targeting in Breast Cancer: The First Clinical Evidences Are Emerging. A Literature Review","In this review, we will report the results of the most recent studies evaluating immune checkpoint inhibitors in breast cancer.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31336685",NA,"NA","56956252","ENSG00000265681, ENSG00000120217","MONDO_0007254","failed","failed term"
"193","EVEROLIMUS, EXEMESTANE",NA,"ADVANCED BREAST CANCER","SP-D, YKL-40","protein expression, protein expression","positive, positive,","AND/OR","patients","31325105","Prospective Study of Drug-induced Interstitial Lung Disease in Advanced Breast Cancer Patients Receiving Everolimus Plus Exemestane.","This study shows that everolimus-related ILD occurs frequently. Prospective monitoring of DLCOc in combination with measurement of serum SP-D and YKL-40 appear useful to discriminate ILD from other causes of respiratory symptoms","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31325105",NA,"DB01590,DB00990","6442177, 60198","ENSG00000133661, ENSG00000133048","MONDO_0007254","SP-D PROTEIN EXPRESSION POSITIVE AND/OR YKL-40 PROTEIN EXPRESSION POSITIVE","pass"
"194","NA",NA,"EARLY-STAGE INVASIVE BREAST CANCER",NA,NA,NA,NA,NA,"31306037","Use of Biomarkers to Guide Decisions on Adjuvant Systemic Therapy for Women With Early-Stage Invasive Breast Cancer: ASCO Clinical Practice Guideline Update Summary",NA,"https://www.gcbi.com.cn/gclib/html/pubmed/detail/31306037","no abstract","NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"195","NA",NA,"ER-POSITIVE BREAST CANCER","ESR1, epidermal growth factor receptor 2","protein expression, protein expression","positive, negative","AND","patients","31279611","Efficacy of Neoadjuvant Endocrine Therapy Versus Neoadjuvant Chemotherapy in ER-positive Breast Cancer: Results From a Prospective Institutional Database.","Significantly higher rates of down-staging were achieved with NACT compared with NET when patients were matched. This study highlights the importance of establishing tumor biology and the need for biomarkers that can be used as predictive tools to inform treatment.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31279611",NA,"NA","56956252","ENSG00000091831, ENSG00000141736","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE AND EPIDERMAL GROWTH FACTOR RECEPTOR 2 PROTEIN EXPRESSION NEGATIVE","pass"
"196","MK-2206",NA,"ADVANCED BREAST CANCER","ESR1, PGR, ERBB2, PIK3CA,AKT1, PTEN, Ki-67","protein expression, protein expression, protein expression,  mutation,mutation & protein expression, mutation, protein expression, protein expression","positive/negative, positive/negative, positive/negative, positive,positive, positive","AND, AND, AND, AND/OR, AND/OR, AND/OR,","patients","31277699","Phase II trial of AKT inhibitor MK-2206 in patients with advanced breast cancer who have tumors with PIK3CA or AKT mutations, and/or PTEN loss/PTEN mutation","MK-2206 monotherapy had limited clinical activity in advanced breast cancer patients selected for PIK3CA/AKT1 or PTEN mutations or PTEN loss.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31277699","complecatted case","NA","24964624","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000121879, ENSG00000142208, ENSG00000171862, ENSG00000148773","MONDO_0007254","failed","failed term"
"197","TRASTUZUMAB",NA,"HER2+ BREAST CANCER","ERBB2, TGFBI","protein expression & amplification, methylation","positive,positive","AND","patients","31277676","Epigenetic silencing of TGFBI confers resistance to trastuzumab in human breast cancer.","Our results suggest for the first time an association between the epigenetic silencing of TGFBI by DNA methylation and trastuzumab resistance in HER2+ cell models. These results provide the basis for further clinical studies to validate the hypermethylation of TGFBI promoter as a biomarker of trastuzumab resistance in HER2+ breast cancer patients.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31277676",NA,"DB00072","3001322","ENSG00000141736, ENSG00000120708","MONDO_0007254","ERBB2 PROTEIN EXPRESSION & AMPLIFICATION POSITIVE AND TGFBI METHYLATION POSITIVE","pass"
"198","NA",NA,"BREAST CANCER","microRNA-21, microRNA-206, ER, PR, HER 2","gene expression, gene expression, protein expression, protein expression, protein expression","positive, positive, negative, negative, negative","AND/AND/AND/AND","patients","31276668","Correlation between microRNA-21, microRNA-206 and estrogen receptor, progesterone receptor, human epidermal growth factor receptor 2 in breast cancer","Both microRNA-21 and microRNA-206 closely correlate with ER, PR, and HER2 expression, which can be considered as clinical biomarkers","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31276668",NA,"NA","56956252","ENSG00000283844, NA, ENSG00000091831, ENSG00000134551, ENSG00000141736","MONDO_0007254","failed","failed term"
"199","NA",NA,"BREAST CANCER","miR-148b-3p、miR-190b, miR-429","gene expression","positive, positive","AND/OR, AND/OR","cell lines","31281725","miR-148b-3p, miR-190b, and miR-429 Regulate Cell Progression and Act as Potential Biomarkers for Breast Cancer","The miR-148b-3p, miR-190b, and miR-429 may serve as potential diagnostic and prognostic markers for breast cancer. This study demonstrated the roles of these 3 miRNAs in the initiation and progression of breast cancer","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31281725",NA,"NA","56956252","NA, NA","MONDO_0007254","failed","failed biomarker,failed term"
"200","NA",NA,"BREAST CANCER",NA,NA,NA,NA,"rat","31281771","Label-free molecular profiling for identification of biomarkers in carcinogenesis using multimodal multiphoton imaging.","Multimodal multiphoton imaging reveals and interrelates diverse carcinogenic signatures, identifying biomarkers that could serve as early molecular indicators for breast cancer diagnosis. This quantitative multimodal imaging methodology for molecular profiling of associated cancer biomarkers may have a broader impact in fundamental cancer research and future clinical applications.","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31281771",NA,"NA","56956252","ENSG00000183023","MONDO_0007254","NA NA NA","no biomarker"
"201","NA",NA,"BREAST CANCER","TPX2,
KIF2C,
CDCA8,
BUB1B,
CCNA2","gene expression, gene expression, gene expression, gene expression, gene expression,","positive, positive, positive, positive, positive","AND/OR, AND/OR,AND/OR, AND/OR,  AND/OR","patients","31285741","Identification of five hub genes as monitoring biomarkers for breast cancer metastasis in silico","Five hub genes (TPX2, KIF2C, CDCA8, BUB1B, and CCNA2) associated with the risk of distant metastasis were extracted for further research, which might be used as biomarkers to predict distant metastasis of breast cancer. ","https://www.gcbi.com.cn/gclib/html/pubmed/detail/31285741",NA,"NA","56956252","ENSG00000088325, ENSG00000142945, ENSG00000134690, ENSG00000156970, ENSG00000145386","MONDO_0007254","failed","failed term"
